_row_key,reservation_id,user_id,origin,destination,flight_type,cabin,flights,payment_history,created_at,total_baggages,nonfree_baggages,insurance,passengers,passengers.Chinese,passengers.Indonesian,passengers.Thai,passengers.Vietnamese
4WQ150,4WQ150,chen_jackson_3290,DFW,LAX,round_trip,business,"[{""origin"": ""DFW"", ""destination"": ""LAX"", ""flight_number"": ""HAT170"", ""date"": ""2024-05-22"", ""price"": 883}, {""origin"": ""LAX"", ""destination"": ""DFW"", ""flight_number"": ""HAT022"", ""date"": ""2024-05-26"", ""price"": 779}]","[{""payment_id"": ""gift_card_3576581"", ""amount"": 4986}]",2024-05-02T03:10:19,5,0,no,"[{""first_name"": ""Chen"", ""last_name"": ""Jackson"", ""dob"": ""1956-07-07""}, {""first_name"": ""Raj"", ""last_name"": ""Smith"", ""dob"": ""1967-04-01""}, {""first_name"": ""Fatima"", ""last_name"": ""Martin"", ""dob"": ""1970-01-20""}]","[{""first_name"": ""陈"", ""last_name"": ""杰克逊"", ""dob"": ""1956-07-07""}, {""first_name"": ""拉杰"", ""last_name"": ""史密斯"", ""dob"": ""1967-04-01""}, {""first_name"": ""法蒂玛"", ""last_name"": ""马丁"", ""dob"": ""1970-01-20""}]","[{""first_name"": "" Chen"", ""last_name"": "" Jackson"", ""dob"": ""1956-07-07""}, {""first_name"": "" Raj"", ""last_name"": "" Smith"", ""dob"": ""1967-04-01""}, {""first_name"": "" Fatima"", ""last_name"": "" Martin"", ""dob"": ""1970-01-20""}]","[{""first_name"": "" เฉิน"", ""last_name"": "" แจ็คสัน"", ""dob"": ""1956-07-07""}, {""first_name"": "" ราช"", ""last_name"": "" สมิธ"", ""dob"": ""1967-04-01""}, {""first_name"": "" ฟาติมา"", ""last_name"": "" มาร์ติน"", ""dob"": ""1970-01-20""}]","[{""first_name"": "" Trần"", ""last_name"": "" Jackson"", ""dob"": ""1956-07-07""}, {""first_name"": "" Raj"", ""last_name"": "" Smith"", ""dob"": ""1967-04-01""}, {""first_name"": "" Fatima"", ""last_name"": "" Martin"", ""dob"": ""1970-01-20""}]"
VAAOXJ,VAAOXJ,lei_rossi_3206,CLT,MCO,one_way,economy,"[{""origin"": ""CLT"", ""destination"": ""BOS"", ""flight_number"": ""HAT287"", ""date"": ""2024-05-24"", ""price"": 182}, {""origin"": ""BOS"", ""destination"": ""MCO"", ""flight_number"": ""HAT235"", ""date"": ""2024-05-24"", ""price"": 124}]","[{""payment_id"": ""credit_card_1052991"", ""amount"": 306}]",2024-05-06T23:58:10,1,0,no,"[{""first_name"": ""James"", ""last_name"": ""Smith"", ""dob"": ""1972-09-24""}]","[{""first_name"": ""詹姆斯"", ""last_name"": ""史密斯"", ""dob"": ""1972-09-24""}]","[{""first_name"": "" James"", ""last_name"": "" Smith"", ""dob"": ""1972-09-24""}]","[{""first_name"": "" เจมส์"", ""last_name"": "" สมิธ"", ""dob"": ""1972-09-24""}]","[{""first_name"": "" James"", ""last_name"": "" Smith"", ""dob"": ""1972-09-24""}]"
PGAGLM,PGAGLM,isabella_muller_2311,LAX,ATL,one_way,business,"[{""origin"": ""LAX"", ""destination"": ""ORD"", ""flight_number"": ""HAT090"", ""date"": ""2024-05-24"", ""price"": 559}, {""origin"": ""ORD"", ""destination"": ""ATL"", ""flight_number"": ""HAT223"", ""date"": ""2024-05-24"", ""price"": 985}]","[{""payment_id"": ""gift_card_4033665"", ""amount"": 1574}]",2024-05-10T10:37:38,1,0,yes,"[{""first_name"": ""Mason"", ""last_name"": ""Gonzalez"", ""dob"": ""1959-08-24""}]","[{""first_name"": ""石匠"", ""last_name"": ""冈萨雷斯"", ""dob"": ""1959-08-24""}]","[{""first_name"": "" Tukang batu"", ""last_name"": "" Gonzalez"", ""dob"": ""1959-08-24""}]","[{""first_name"": "" เมสัน"", ""last_name"": "" กอนซาเลซ"", ""dob"": ""1959-08-24""}]","[{""first_name"": "" Mason"", ""last_name"": "" Gonzalez"", ""dob"": ""1959-08-24""}]"
1OWO6T,1OWO6T,sofia_anderson_8718,BOS,DFW,round_trip,basic_economy,"[{""origin"": ""BOS"", ""destination"": ""SEA"", ""flight_number"": ""HAT006"", ""date"": ""2024-05-28"", ""price"": 72}, {""origin"": ""SEA"", ""destination"": ""DFW"", ""flight_number"": ""HAT055"", ""date"": ""2024-05-28"", ""price"": 72}, {""origin"": ""DFW"", ""destination"": ""SEA"", ""flight_number"": ""HAT038"", ""date"": ""2024-05-30"", ""price"": 55}, {""origin"": ""SEA"", ""destination"": ""BOS"", ""flight_number"": ""HAT194"", ""date"": ""2024-05-30"", ""price"": 60}]","[{""payment_id"": ""credit_card_2046918"", ""amount"": 867}]",2024-05-14T02:04:56,0,0,yes,"[{""first_name"": ""Omar"", ""last_name"": ""Garcia"", ""dob"": ""1962-01-12""}, {""first_name"": ""Raj"", ""last_name"": ""Martin"", ""dob"": ""1996-04-17""}, {""first_name"": ""Mei"", ""last_name"": ""Lopez"", ""dob"": ""1954-08-16""}]","[{""first_name"": ""奥马尔"", ""last_name"": ""加西亚"", ""dob"": ""1962-01-12""}, {""first_name"": ""拉杰"", ""last_name"": ""马丁"", ""dob"": ""1996-04-17""}, {""first_name"": ""梅"", ""last_name"": ""洛佩兹"", ""dob"": ""1954-08-16""}]","[{""first_name"": "" Omar"", ""last_name"": "" Garcia"", ""dob"": ""1962-01-12""}, {""first_name"": "" Raj"", ""last_name"": "" Martin"", ""dob"": ""1996-04-17""}, {""first_name"": "" Mei"", ""last_name"": "" Lopez"", ""dob"": ""1954-08-16""}]","[{""first_name"": "" โอมาร์"", ""last_name"": "" การ์เซีย"", ""dob"": ""1962-01-12""}, {""first_name"": "" ราช"", ""last_name"": "" มาร์ติน"", ""dob"": ""1996-04-17""}, {""first_name"": "" เหมย"", ""last_name"": "" โลเปซ"", ""dob"": ""1954-08-16""}]","[{""first_name"": "" Omar"", ""last_name"": "" Garcia"", ""dob"": ""1962-01-12""}, {""first_name"": "" Raj"", ""last_name"": "" Martin"", ""dob"": ""1996-04-17""}, {""first_name"": "" Mei"", ""last_name"": "" Lopez"", ""dob"": ""1954-08-16""}]"
UUN48W,UUN48W,james_taylor_7043,IAH,LAS,round_trip,business,"[{""origin"": ""IAH"", ""destination"": ""LAS"", ""flight_number"": ""HAT131"", ""date"": ""2024-05-23"", ""price"": 1829}, {""origin"": ""LAS"", ""destination"": ""IAH"", ""flight_number"": ""HAT175"", ""date"": ""2024-05-30"", ""price"": 508}]","[{""payment_id"": ""gift_card_5634230"", ""amount"": 7101}]",2024-05-04T13:16:20,6,0,yes,"[{""first_name"": ""James"", ""last_name"": ""Taylor"", ""dob"": ""1997-01-23""}, {""first_name"": ""Lei"", ""last_name"": ""Rossi"", ""dob"": ""1975-01-27""}, {""first_name"": ""Mason"", ""last_name"": ""Moore"", ""dob"": ""1966-07-21""}]","[{""first_name"": ""詹姆斯"", ""last_name"": ""泰勒"", ""dob"": ""1997-01-23""}, {""first_name"": ""雷"", ""last_name"": ""罗西"", ""dob"": ""1975-01-27""}, {""first_name"": ""石匠"", ""last_name"": ""摩尔"", ""dob"": ""1966-07-21""}]","[{""first_name"": "" James"", ""last_name"": "" Taylor"", ""dob"": ""1997-01-23""}, {""first_name"": "" Lei"", ""last_name"": "" Rossi"", ""dob"": ""1975-01-27""}, {""first_name"": "" Tukang batu"", ""last_name"": "" Moore"", ""dob"": ""1966-07-21""}]","[{""first_name"": "" เจมส์"", ""last_name"": "" เทย์เลอร์"", ""dob"": ""1997-01-23""}, {""first_name"": "" เล"", ""last_name"": "" รอสซี่"", ""dob"": ""1975-01-27""}, {""first_name"": "" เมสัน"", ""last_name"": "" มัวร์"", ""dob"": ""1966-07-21""}]","[{""first_name"": "" James"", ""last_name"": "" Taylor"", ""dob"": ""1997-01-23""}, {""first_name"": "" Lei"", ""last_name"": "" Rossi"", ""dob"": ""1975-01-27""}, {""first_name"": "" Mason"", ""last_name"": "" Moore"", ""dob"": ""1966-07-21""}]"
V5XFMY,V5XFMY,mia_garcia_3833,LAX,CLT,one_way,business,"[{""origin"": ""LAX"", ""destination"": ""EWR"", ""flight_number"": ""HAT228"", ""date"": ""2024-05-20"", ""price"": 710}, {""origin"": ""EWR"", ""destination"": ""CLT"", ""flight_number"": ""HAT215"", ""date"": ""2024-05-21"", ""price"": 1725}]","[{""payment_id"": ""credit_card_3323151"", ""amount"": 4930}]",2024-05-14T03:36:02,1,0,yes,"[{""first_name"": ""Mia"", ""last_name"": ""Garcia"", ""dob"": ""1980-07-11""}, {""first_name"": ""Aarav"", ""last_name"": ""Lee"", ""dob"": ""1996-01-25""}]","[{""first_name"": ""米娅"", ""last_name"": ""加西亚"", ""dob"": ""1980-07-11""}, {""first_name"": ""阿拉夫"", ""last_name"": ""李"", ""dob"": ""1996-01-25""}]","[{""first_name"": "" Mia"", ""last_name"": "" Garcia"", ""dob"": ""1980-07-11""}, {""first_name"": "" Aarav"", ""last_name"": "" Lee"", ""dob"": ""1996-01-25""}]","[{""first_name"": "" มีอา"", ""last_name"": "" การ์เซีย"", ""dob"": ""1980-07-11""}, {""first_name"": "" อาราว"", ""last_name"": "" ลี"", ""dob"": ""1996-01-25""}]","[{""first_name"": "" Mia"", ""last_name"": "" Garcia"", ""dob"": ""1980-07-11""}, {""first_name"": "" Aarav"", ""last_name"": "" Lee"", ""dob"": ""1996-01-25""}]"
JP6LYC,JP6LYC,emma_nguyen_9431,DTW,DTW,one_way,business,"[{""origin"": ""DTW"", ""destination"": ""PHX"", ""flight_number"": ""HAT275"", ""date"": ""2024-05-19"", ""price"": 1582}, {""origin"": ""PHX"", ""destination"": ""DTW"", ""flight_number"": ""HAT265"", ""date"": ""2024-05-19"", ""price"": 1153}]","[{""payment_id"": ""gift_card_6579716"", ""amount"": 5470}]",2024-05-12T19:03:30,2,0,no,"[{""first_name"": ""Emma"", ""last_name"": ""Nguyen"", ""dob"": ""1950-04-26""}, {""first_name"": ""Chen"", ""last_name"": ""Rossi"", ""dob"": ""1953-06-14""}]","[{""first_name"": ""艾玛"", ""last_name"": ""阮"", ""dob"": ""1950-04-26""}, {""first_name"": ""陈"", ""last_name"": ""罗西"", ""dob"": ""1953-06-14""}]","[{""first_name"": "" Emma"", ""last_name"": "" Nguyen"", ""dob"": ""1950-04-26""}, {""first_name"": "" Chen"", ""last_name"": "" Rossi"", ""dob"": ""1953-06-14""}]","[{""first_name"": "" เอ็มม่า"", ""last_name"": "" เหงียน"", ""dob"": ""1950-04-26""}, {""first_name"": "" เฉิน"", ""last_name"": "" รอสซี่"", ""dob"": ""1953-06-14""}]","[{""first_name"": "" Emma"", ""last_name"": "" Nguyễn"", ""dob"": ""1950-04-26""}, {""first_name"": "" Trần"", ""last_name"": "" Rossi"", ""dob"": ""1953-06-14""}]"
JW6LEQ,JW6LEQ,chen_lee_6825,ORD,LAS,round_trip,business,"[{""origin"": ""ORD"", ""destination"": ""IAH"", ""flight_number"": ""HAT147"", ""date"": ""2024-05-26"", ""price"": 1259}, {""origin"": ""IAH"", ""destination"": ""LAS"", ""flight_number"": ""HAT112"", ""date"": ""2024-05-26"", ""price"": 1214}, {""origin"": ""LAS"", ""destination"": ""ATL"", ""flight_number"": ""HAT077"", ""date"": ""2024-05-30"", ""price"": 1839}, {""origin"": ""ATL"", ""destination"": ""ORD"", ""flight_number"": ""HAT227"", ""date"": ""2024-05-30"", ""price"": 485}]","[{""payment_id"": ""credit_card_4938634"", ""amount"": 4797}]",2024-05-05T17:48:42,0,0,no,"[{""first_name"": ""Chen"", ""last_name"": ""Lee"", ""dob"": ""1967-12-12""}]","[{""first_name"": ""陈"", ""last_name"": ""李"", ""dob"": ""1967-12-12""}]","[{""first_name"": "" Chen"", ""last_name"": "" Lee"", ""dob"": ""1967-12-12""}]","[{""first_name"": "" เฉิน"", ""last_name"": "" ลี"", ""dob"": ""1967-12-12""}]","[{""first_name"": "" Trần"", ""last_name"": "" Lee"", ""dob"": ""1967-12-12""}]"
CDXEBS,CDXEBS,harper_garcia_8677,LGA,SFO,round_trip,economy,"[{""origin"": ""LGA"", ""destination"": ""PHX"", ""flight_number"": ""HAT114"", ""date"": ""2024-05-26"", ""price"": 152}, {""origin"": ""PHX"", ""destination"": ""SFO"", ""flight_number"": ""HAT032"", ""date"": ""2024-05-27"", ""price"": 100}, {""origin"": ""SFO"", ""destination"": ""PHX"", ""flight_number"": ""HAT144"", ""date"": ""2024-05-29"", ""price"": 194}, {""origin"": ""PHX"", ""destination"": ""LGA"", ""flight_number"": ""HAT066"", ""date"": ""2024-05-29"", ""price"": 188}]","[{""payment_id"": ""gift_card_2663401"", ""amount"": 1328}]",2024-05-08T23:07:57,1,0,yes,"[{""first_name"": ""Harper"", ""last_name"": ""Garcia"", ""dob"": ""1998-02-27""}, {""first_name"": ""Ivan"", ""last_name"": ""Brown"", ""dob"": ""1954-11-22""}]","[{""first_name"": ""哈珀"", ""last_name"": ""加西亚"", ""dob"": ""1998-02-27""}, {""first_name"": ""伊万"", ""last_name"": ""棕色的"", ""dob"": ""1954-11-22""}]","[{""first_name"": "" Pemain harpa"", ""last_name"": "" Garcia"", ""dob"": ""1998-02-27""}, {""first_name"": "" Ivan"", ""last_name"": "" Cokelat"", ""dob"": ""1954-11-22""}]","[{""first_name"": "" ฮาร์เปอร์"", ""last_name"": "" การ์เซีย"", ""dob"": ""1998-02-27""}, {""first_name"": "" อีวาน"", ""last_name"": "" บราวน์"", ""dob"": ""1954-11-22""}]","[{""first_name"": "" Harper"", ""last_name"": "" Garcia"", ""dob"": ""1998-02-27""}, {""first_name"": "" Ivan"", ""last_name"": "" Màu nâu"", ""dob"": ""1954-11-22""}]"
NA6PZ3,NA6PZ3,raj_johnson_6495,DTW,DTW,round_trip,economy,"[{""origin"": ""DTW"", ""destination"": ""PHX"", ""flight_number"": ""HAT275"", ""date"": ""2024-05-27"", ""price"": 133}, {""origin"": ""PHX"", ""destination"": ""DTW"", ""flight_number"": ""HAT106"", ""date"": ""2024-05-27"", ""price"": 138}, {""origin"": ""DTW"", ""destination"": ""CLT"", ""flight_number"": ""HAT053"", ""date"": ""2024-05-29"", ""price"": 185}, {""origin"": ""CLT"", ""destination"": ""DTW"", ""flight_number"": ""HAT167"", ""date"": ""2024-05-29"", ""price"": 122}]","[{""payment_id"": ""credit_card_5296290"", ""amount"": 1156}]",2024-05-10T19:04:27,1,0,no,"[{""first_name"": ""Raj"", ""last_name"": ""Johnson"", ""dob"": ""1991-06-17""}, {""first_name"": ""Sofia"", ""last_name"": ""Jackson"", ""dob"": ""1986-10-03""}]","[{""first_name"": ""拉杰"", ""last_name"": ""约翰逊"", ""dob"": ""1991-06-17""}, {""first_name"": ""索菲亚"", ""last_name"": ""杰克逊"", ""dob"": ""1986-10-03""}]","[{""first_name"": "" Raj"", ""last_name"": ""Johnson"", ""dob"": ""1991-06-17""}, {""first_name"": "" Sofia"", ""last_name"": "" Jackson"", ""dob"": ""1986-10-03""}]","[{""first_name"": "" ราช"", ""last_name"": ""จอห์นสัน"", ""dob"": ""1991-06-17""}, {""first_name"": "" โซเฟีย"", ""last_name"": "" แจ็คสัน"", ""dob"": ""1986-10-03""}]","[{""first_name"": "" Raj"", ""last_name"": ""Johnson"", ""dob"": ""1991-06-17""}, {""first_name"": "" Sofia"", ""last_name"": "" Jackson"", ""dob"": ""1986-10-03""}]"
