_row_key,user_id,email,dob,payment_methods,membership,reservations,address,address.Chinese,address.Indonesian,address.Thai,address.Vietnamese,name,name.Chinese,name.Indonesian,name.Thai,name.Vietnamese,saved_passengers,saved_passengers.Chinese,saved_passengers.Indonesian,saved_passengers.Thai,saved_passengers.Vietnamese
mia_li_3668,mia_li_3668,mia.li3818@example.com,1990-04-05,"{""credit_card_4421486"": {""source"": ""credit_card"", ""id"": ""credit_card_4421486"", ""brand"": ""visa"", ""last_four"": ""7447""}, ""certificate_4856383"": {""source"": ""certificate"", ""id"": ""certificate_4856383"", ""amount"": 100.0}, ""certificate_7504069"": {""source"": ""certificate"", ""id"": ""certificate_7504069"", ""amount"": 250.0}, ""credit_card_1955700"": {""source"": ""credit_card"", ""id"": ""credit_card_1955700"", ""brand"": ""visa"", ""last_four"": ""1907""}}",gold,"[""NO6JO3"", ""AIXC49"", ""HKEG34""]","{""address1"": ""975 Sunset Drive"", ""address2"": ""Suite 217"", ""city"": ""Austin"", ""country"": ""USA"", ""state"": ""TX"", ""zip"": ""78750""}","{""address1"": ""日落大道975号"", ""address2"": ""217号套房"", ""city"": ""奥斯汀"", ""country"": ""美国"", ""state"": ""德克萨斯州"", ""zip"": ""78750""}","{""address1"": "" 975 Sunset Drive"", ""address2"": "" Suite 217"", ""city"": "" Austin"", ""country"": "" Amerika Serikat"", ""state"": "" TX"", ""zip"": "" 78750""}","{""address1"": "" 975 ซันเซ็ตไดรฟ์"", ""address2"": "" ห้องชุด 217"", ""city"": "" ออสติน"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" เท็กซัส"", ""zip"": "" 78750""}","{""address1"": "" 975 Sunset Drive"", ""address2"": "" Phòng 217"", ""city"": "" Austin"", ""country"": "" Hoa Kỳ"", ""state"": "" TX"", ""zip"": "" 78750""}","{""first_name"": ""Mia"", ""last_name"": ""Li""}","{""first_name"": ""米娅"", ""last_name"": ""李""}","{""first_name"": "" Mia"", ""last_name"": "" Li""}","{""first_name"": "" มีอา"", ""last_name"": "" ลี""}","{""first_name"": "" Mia"", ""last_name"": "" Li""}","[{""first_name"": ""Amelia"", ""last_name"": ""Ahmed"", ""dob"": ""1957-03-21""}]","[{""first_name"": ""阿米莉亚"", ""last_name"": ""艾哈迈德"", ""dob"": ""1957-03-21""}]","[{""first_name"": "" Amelia"", ""last_name"": "" Ahmed"", ""dob"": ""1957-03-21""}]","[{""first_name"": "" อมีเลีย"", ""last_name"": "" อาห์เหม็ด"", ""dob"": ""1957-03-21""}]","[{""first_name"": "" Amelia"", ""last_name"": "" Ahmed"", ""dob"": ""1957-03-21""}]"
mei_hernandez_8984,mei_hernandez_8984,mei.hernandez3561@example.com,1981-01-11,"{""gift_card_5309492"": {""source"": ""gift_card"", ""id"": ""gift_card_5309492"", ""amount"": 98.0}, ""credit_card_2140654"": {""source"": ""credit_card"", ""id"": ""credit_card_2140654"", ""brand"": ""mastercard"", ""last_four"": ""1698""}, ""certificate_7502997"": {""source"": ""certificate"", ""id"": ""certificate_7502997"", ""amount"": 250.0}, ""certificate_3321326"": {""source"": ""certificate"", ""id"": ""certificate_3321326"", ""amount"": 250.0}, ""credit_card_6082923"": {""source"": ""credit_card"", ""id"": ""credit_card_6082923"", ""brand"": ""visa"", ""last_four"": ""3202""}}",gold,"[""R9QDGB"", ""07S7FC"", ""79G8A9"", ""1AKIA8""]","{""address1"": ""675 Sunset Drive"", ""address2"": ""Suite 623"", ""city"": ""Dallas"", ""country"": ""USA"", ""state"": ""TX"", ""zip"": ""75379""}","{""address1"": ""日落大道675号"", ""address2"": ""623号套房"", ""city"": ""达拉斯"", ""country"": ""美国"", ""state"": ""德克萨斯州"", ""zip"": ""75379""}","{""address1"": "" 675 Sunset Drive"", ""address2"": "" Suite 623"", ""city"": "" Dallas"", ""country"": "" Amerika Serikat"", ""state"": "" TX"", ""zip"": "" 75379""}","{""address1"": "" 675 ซันเซ็ตไดรฟ์"", ""address2"": "" ห้องชุด 623"", ""city"": "" ดัลลัส"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" เท็กซัส"", ""zip"": "" 75379""}","{""address1"": "" 675 Đường Sunset"", ""address2"": "" Phòng 623"", ""city"": "" Dallas"", ""country"": "" Hoa Kỳ"", ""state"": "" TX"", ""zip"": "" 75379""}","{""first_name"": ""Mei"", ""last_name"": ""Hernandez""}","{""first_name"": ""梅"", ""last_name"": ""埃尔南德斯""}","{""first_name"": "" Mei"", ""last_name"": "" Hernandez""}","{""first_name"": "" เหมย"", ""last_name"": "" เฮอร์นันเดซ""}","{""first_name"": "" Mei"", ""last_name"": "" Hernandez""}","[{""first_name"": ""Anya"", ""last_name"": ""Anderson"", ""dob"": ""1959-05-28""}]","[{""first_name"": ""安雅"", ""last_name"": ""安德森"", ""dob"": ""1959-05-28""}]","[{""first_name"": "" Anya"", ""last_name"": "" Anderson"", ""dob"": ""1959-05-28""}]","[{""first_name"": "" อันยา"", ""last_name"": "" แอนเดอร์สัน"", ""dob"": ""1959-05-28""}]","[{""first_name"": "" Anya"", ""last_name"": "" Anderson"", ""dob"": ""1959-05-28""}]"
aarav_nguyen_1055,aarav_nguyen_1055,aarav.nguyen9719@example.com,1974-01-01,"{""certificate_1530821"": {""source"": ""certificate"", ""id"": ""certificate_1530821"", ""amount"": 250.0}, ""certificate_3863871"": {""source"": ""certificate"", ""id"": ""certificate_3863871"", ""amount"": 100.0}, ""credit_card_4319822"": {""source"": ""credit_card"", ""id"": ""credit_card_4319822"", ""brand"": ""mastercard"", ""last_four"": ""3733""}, ""certificate_5569851"": {""source"": ""certificate"", ""id"": ""certificate_5569851"", ""amount"": 250.0}, ""gift_card_9785014"": {""source"": ""gift_card"", ""id"": ""gift_card_9785014"", ""amount"": 133.0}}",silver,"[""ESDZ4W"", ""MYKO5S"", ""IS6JKD"", ""H0S6OC""]","{""address1"": ""205 Elm Avenue"", ""address2"": ""Suite 814"", ""city"": ""Los Angeles"", ""country"": ""USA"", ""state"": ""CA"", ""zip"": ""91436""}","{""address1"": ""榆树大道205号"", ""address2"": ""814号套房"", ""city"": ""洛杉矶"", ""country"": ""美国"", ""state"": ""加州"", ""zip"": ""91436""}","{""address1"": "" Jalan Elm 205"", ""address2"": ""Suite 814"", ""city"": "" Los Angeles"", ""country"": "" Amerika Serikat"", ""state"": "" CA"", ""zip"": "" 91436""}","{""address1"": "" 205 เอล์ม อเวนิว"", ""address2"": ""ห้องชุด 814"", ""city"": "" ลอสแอนเจลิส"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" ซีเอ"", ""zip"": "" 91436""}","{""address1"": "" 205 Elm Avenue"", ""address2"": ""Phòng 814"", ""city"": "" Los Angeles"", ""country"": "" Hoa Kỳ"", ""state"": "" CA"", ""zip"": "" 91436""}","{""first_name"": ""Aarav"", ""last_name"": ""Nguyen""}","{""first_name"": ""阿拉夫"", ""last_name"": ""阮""}","{""first_name"": "" Aarav"", ""last_name"": "" Nguyen""}","{""first_name"": "" อาราว"", ""last_name"": "" เหงียน""}","{""first_name"": "" Aarav"", ""last_name"": "" Nguyễn""}","[{""first_name"": ""Mohamed"", ""last_name"": ""Johnson"", ""dob"": ""1981-07-16""}, {""first_name"": ""Olivia"", ""last_name"": ""Sanchez"", ""dob"": ""1983-05-09""}]","[{""first_name"": ""穆罕默德"", ""last_name"": ""约翰逊"", ""dob"": ""1981-07-16""}, {""first_name"": ""奥利维亚"", ""last_name"": ""桑切斯"", ""dob"": ""1983-05-09""}]","[{""first_name"": "" Mohamed"", ""last_name"": "" Johnson"", ""dob"": ""1981-07-16""}, {""first_name"": "" Olivia"", ""last_name"": "" Sanchez"", ""dob"": ""1983-05-09""}]","[{""first_name"": "" โมฮาเหม็ด"", ""last_name"": "" จอห์นสัน"", ""dob"": ""1981-07-16""}, {""first_name"": "" โอลิเวีย"", ""last_name"": "" ซานเชซ"", ""dob"": ""1983-05-09""}]","[{""first_name"": "" Mohamed"", ""last_name"": "" Johnson"", ""dob"": ""1981-07-16""}, {""first_name"": "" Olivia"", ""last_name"": "" Sanchez"", ""dob"": ""1983-05-09""}]"
chen_hernandez_2608,chen_hernandez_2608,chen.hernandez3740@example.com,1965-07-19,"{""credit_card_8453507"": {""source"": ""credit_card"", ""id"": ""credit_card_8453507"", ""brand"": ""mastercard"", ""last_four"": ""6680""}, ""credit_card_6123046"": {""source"": ""credit_card"", ""id"": ""credit_card_6123046"", ""brand"": ""visa"", ""last_four"": ""7969""}}",gold,"[""V25KYO"", ""MM67S8"", ""OC39IW"", ""TANH6H"", ""NPDBEW"", ""LSQVC2""]","{""address1"": ""742 Cedar Street"", ""address2"": ""Suite 621"", ""city"": ""Philadelphia"", ""country"": ""USA"", ""state"": ""PA"", ""zip"": ""19044""}","{""address1"": ""雪松街742号"", ""address2"": ""621号套房"", ""city"": ""费城"", ""country"": ""美国"", ""state"": ""宾夕法尼亚州"", ""zip"": ""19044""}","{""address1"": "" Jalan Cedar 742"", ""address2"": "" Suite 621"", ""city"": "" Philadelphia"", ""country"": "" Amerika Serikat"", ""state"": "" PA"", ""zip"": "" Tahun 19044""}","{""address1"": "" 742 ถนนซีดาร์"", ""address2"": "" ห้องชุด 621"", ""city"": "" ฟิลาเดลเฟีย"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" พีเอ"", ""zip"": "" 19044""}","{""address1"": "" 742 Đường Cedar"", ""address2"": "" Phòng 621"", ""city"": "" Philadelphia"", ""country"": "" Hoa Kỳ"", ""state"": "" PA"", ""zip"": "" 19044""}","{""first_name"": ""Chen"", ""last_name"": ""Hernandez""}","{""first_name"": ""陈"", ""last_name"": ""埃尔南德斯""}","{""first_name"": "" Chen"", ""last_name"": "" Hernandez""}","{""first_name"": "" เฉิน"", ""last_name"": "" เฮอร์นันเดซ""}","{""first_name"": "" Trần"", ""last_name"": "" Hernandez""}","[{""first_name"": ""Liam"", ""last_name"": ""Nguyen"", ""dob"": ""1960-08-07""}]","[{""first_name"": ""利亚姆"", ""last_name"": ""阮"", ""dob"": ""1960-08-07""}]","[{""first_name"": "" Liam"", ""last_name"": "" Nguyen"", ""dob"": ""1960-08-07""}]","[{""first_name"": "" เลียม"", ""last_name"": "" เหงียน"", ""dob"": ""1960-08-07""}]","[{""first_name"": "" Liam"", ""last_name"": "" Nguyễn"", ""dob"": ""1960-08-07""}]"
lucas_hernandez_8985,lucas_hernandez_8985,lucas.hernandez5349@example.com,2000-03-10,"{""gift_card_9443446"": {""source"": ""gift_card"", ""id"": ""gift_card_9443446"", ""amount"": 35.0}, ""gift_card_8525656"": {""source"": ""gift_card"", ""id"": ""gift_card_8525656"", ""amount"": 235.0}}",regular,"[""4G94T6"", ""OP3VYE"", ""02EA8Y""]","{""address1"": ""809 Elm Street"", ""address2"": ""Suite 752"", ""city"": ""San Francisco"", ""country"": ""USA"", ""state"": ""CA"", ""zip"": ""94153""}","{""address1"": ""榆树街809号"", ""address2"": ""752号套房"", ""city"": ""旧金山"", ""country"": ""美国"", ""state"": ""加州"", ""zip"": ""94153""}","{""address1"": "" Jalan Elm 809"", ""address2"": "" Suite 752"", ""city"": "" San Francisco"", ""country"": "" Amerika Serikat"", ""state"": "" CA"", ""zip"": "" 94153""}","{""address1"": "" 809 ถนนเอล์ม"", ""address2"": "" ห้องชุด 752"", ""city"": "" ซานฟรานซิสโก"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" ซีเอ"", ""zip"": "" 94153""}","{""address1"": "" 809 phố Elm"", ""address2"": "" Phòng 752"", ""city"": "" San Francisco"", ""country"": "" Hoa Kỳ"", ""state"": "" CA"", ""zip"": "" 94153""}","{""first_name"": ""Lucas"", ""last_name"": ""Hernandez""}","{""first_name"": ""卢卡斯"", ""last_name"": ""埃尔南德斯""}","{""first_name"": "" Lucas"", ""last_name"": "" Hernandez""}","{""first_name"": "" ลูคัส"", ""last_name"": "" เฮอร์นันเดซ""}","{""first_name"": "" Lucas"", ""last_name"": "" Hernandez""}","[{""first_name"": ""Harper"", ""last_name"": ""Taylor"", ""dob"": ""1986-02-14""}]","[{""first_name"": ""哈珀"", ""last_name"": ""泰勒"", ""dob"": ""1986-02-14""}]","[{""first_name"": "" Pemain harpa"", ""last_name"": "" Taylor"", ""dob"": ""1986-02-14""}]","[{""first_name"": "" ฮาร์เปอร์"", ""last_name"": "" เทย์เลอร์"", ""dob"": ""1986-02-14""}]","[{""first_name"": "" Harper"", ""last_name"": "" Taylor"", ""dob"": ""1986-02-14""}]"
sophia_taylor_9065,sophia_taylor_9065,sophia.taylor4639@example.com,1999-05-27,"{""credit_card_5237144"": {""source"": ""credit_card"", ""id"": ""credit_card_5237144"", ""brand"": ""visa"", ""last_four"": ""9796""}, ""credit_card_9302073"": {""source"": ""credit_card"", ""id"": ""credit_card_9302073"", ""brand"": ""visa"", ""last_four"": ""5191""}, ""certificate_6193508"": {""source"": ""certificate"", ""id"": ""certificate_6193508"", ""amount"": 100.0}}",silver,"[""6NSXQU"", ""J3SAZF"", ""PEP4E0"", ""NABCQ2""]","{""address1"": ""831 Elm Street"", ""address2"": ""Suite 304"", ""city"": ""Washington"", ""country"": ""USA"", ""state"": ""DC"", ""zip"": ""20417""}","{""address1"": ""榆树街831号"", ""address2"": ""304号套房"", ""city"": ""华盛顿"", ""country"": ""美国"", ""state"": ""华盛顿特区"", ""zip"": ""20417""}","{""address1"": "" Jalan Elm 831"", ""address2"": "" Suite 304"", ""city"": "" Washington"", ""country"": "" Amerika Serikat"", ""state"": "" DC"", ""zip"": "" 20417""}","{""address1"": "" 831 ถนนเอล์ม"", ""address2"": "" ห้องชุด 304"", ""city"": "" วอชิงตัน"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" ดีซี"", ""zip"": "" 20417""}","{""address1"": "" 831 phố Elm"", ""address2"": "" Phòng 304"", ""city"": "" Washington"", ""country"": "" Hoa Kỳ"", ""state"": "" DC"", ""zip"": "" 20417""}","{""first_name"": ""Sophia"", ""last_name"": ""Taylor""}","{""first_name"": ""索菲亚"", ""last_name"": ""泰勒""}","{""first_name"": "" Sophia"", ""last_name"": "" Taylor""}","{""first_name"": "" โซเฟีย"", ""last_name"": "" เทย์เลอร์""}","{""first_name"": "" Sophia"", ""last_name"": "" Taylor""}","[{""first_name"": ""Lucas"", ""last_name"": ""Davis"", ""dob"": ""1987-10-27""}, {""first_name"": ""Mason"", ""last_name"": ""Khan"", ""dob"": ""1983-09-06""}]","[{""first_name"": ""卢卡斯"", ""last_name"": ""戴维斯"", ""dob"": ""1987-10-27""}, {""first_name"": ""石匠"", ""last_name"": ""汗"", ""dob"": ""1983-09-06""}]","[{""first_name"": "" Lucas"", ""last_name"": "" Davis"", ""dob"": ""1987-10-27""}, {""first_name"": "" Tukang batu"", ""last_name"": "" Khan"", ""dob"": ""1983-09-06""}]","[{""first_name"": "" ลูคัส"", ""last_name"": "" เดวิส"", ""dob"": ""1987-10-27""}, {""first_name"": "" เมสัน"", ""last_name"": "" ข่าน"", ""dob"": ""1983-09-06""}]","[{""first_name"": "" Lucas"", ""last_name"": "" Davis"", ""dob"": ""1987-10-27""}, {""first_name"": "" Mason"", ""last_name"": "" Khan"", ""dob"": ""1983-09-06""}]"
liam_santos_5621,liam_santos_5621,liam.santos3021@example.com,1998-03-11,"{""certificate_1680540"": {""source"": ""certificate"", ""id"": ""certificate_1680540"", ""amount"": 500.0}, ""credit_card_1835044"": {""source"": ""credit_card"", ""id"": ""credit_card_1835044"", ""brand"": ""mastercard"", ""last_four"": ""7621""}}",regular,"[""ZZSA4W"", ""V75SFJ"", ""EFIAC5"", ""T7RO4F"", ""96HBVR"", ""C2SZKK"", ""IDTRDM""]","{""address1"": ""934 Broadway"", ""address2"": ""Suite 476"", ""city"": ""Indianapolis"", ""country"": ""USA"", ""state"": ""IN"", ""zip"": ""46227""}","{""address1"": ""百老汇大街934号"", ""address2"": ""476号套房"", ""city"": ""印第安纳波利斯"", ""country"": ""美国"", ""state"": ""在"", ""zip"": ""46227""}","{""address1"": "" 934 Broadway"", ""address2"": "" Suite 476"", ""city"": "" Indianapolis"", ""country"": "" Amerika Serikat"", ""state"": "" DI DALAM"", ""zip"": "" 46227""}","{""address1"": "" 934 บรอดเวย์"", ""address2"": "" ห้องชุด 476"", ""city"": "" อินเดียนาโพลิส"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" ใน"", ""zip"": "" 46227""}","{""address1"": "" 934 Broadway"", ""address2"": "" Phòng 476"", ""city"": "" Indianapolis"", ""country"": "" Hoa Kỳ"", ""state"": "" TRONG"", ""zip"": "" 46227""}","{""first_name"": ""Liam"", ""last_name"": ""Santos""}","{""first_name"": ""利亚姆"", ""last_name"": ""桑托斯""}","{""first_name"": "" Liam"", ""last_name"": "" Santos""}","{""first_name"": "" เลียม"", ""last_name"": "" ซานโตส""}","{""first_name"": "" Liam"", ""last_name"": "" Santos""}","[{""first_name"": ""Omar"", ""last_name"": ""Davis"", ""dob"": ""1991-03-04""}]","[{""first_name"": ""奥马尔"", ""last_name"": ""戴维斯"", ""dob"": ""1991-03-04""}]","[{""first_name"": "" Omar"", ""last_name"": "" Davis"", ""dob"": ""1991-03-04""}]","[{""first_name"": "" โอมาร์"", ""last_name"": "" เดวิส"", ""dob"": ""1991-03-04""}]","[{""first_name"": "" Omar"", ""last_name"": "" Davis"", ""dob"": ""1991-03-04""}]"
olivia_smith_4705,olivia_smith_4705,olivia.smith8381@example.com,1977-01-20,"{""credit_card_1070466"": {""source"": ""credit_card"", ""id"": ""credit_card_1070466"", ""brand"": ""mastercard"", ""last_four"": ""3802""}, ""credit_card_9460700"": {""source"": ""credit_card"", ""id"": ""credit_card_9460700"", ""brand"": ""mastercard"", ""last_four"": ""4329""}, ""gift_card_6752973"": {""source"": ""gift_card"", ""id"": ""gift_card_6752973"", ""amount"": 60.0}}",regular,"[""MEMLVX"", ""HVU16N""]","{""address1"": ""786 Sunset Drive"", ""address2"": ""Suite 265"", ""city"": ""Houston"", ""country"": ""USA"", ""state"": ""TX"", ""zip"": ""77096""}","{""address1"": ""日落大道786号"", ""address2"": ""265号套房"", ""city"": ""休斯顿"", ""country"": ""美国"", ""state"": ""德克萨斯州"", ""zip"": ""77096""}","{""address1"": "" 786 Sunset Drive"", ""address2"": "" Suite 265"", ""city"": "" Houston"", ""country"": "" Amerika Serikat"", ""state"": "" TX"", ""zip"": "" 77096""}","{""address1"": "" 786 ซันเซ็ตไดรฟ์"", ""address2"": "" ห้องชุด 265"", ""city"": "" ฮิวสตัน"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" เท็กซัส"", ""zip"": "" 77096""}","{""address1"": "" 786 Đường Sunset"", ""address2"": "" Phòng 265"", ""city"": "" Houston"", ""country"": "" Hoa Kỳ"", ""state"": "" TX"", ""zip"": "" 77096""}","{""first_name"": ""Olivia"", ""last_name"": ""Smith""}","{""first_name"": ""奥利维亚"", ""last_name"": ""史密斯""}","{""first_name"": "" Olivia"", ""last_name"": "" Smith""}","{""first_name"": "" โอลิเวีย"", ""last_name"": "" สมิธ""}","{""first_name"": "" Olivia"", ""last_name"": "" Smith""}","[{""first_name"": ""Raj"", ""last_name"": ""Li"", ""dob"": ""1991-10-28""}, {""first_name"": ""Anya"", ""last_name"": ""Gonzalez"", ""dob"": ""1974-12-23""}]","[{""first_name"": ""拉杰"", ""last_name"": ""李"", ""dob"": ""1991-10-28""}, {""first_name"": ""安雅"", ""last_name"": ""冈萨雷斯"", ""dob"": ""1974-12-23""}]","[{""first_name"": "" Raj"", ""last_name"": "" Li"", ""dob"": ""1991-10-28""}, {""first_name"": "" Anya"", ""last_name"": "" Gonzalez"", ""dob"": ""1974-12-23""}]","[{""first_name"": "" ราช"", ""last_name"": "" ลี"", ""dob"": ""1991-10-28""}, {""first_name"": "" อันยา"", ""last_name"": "" กอนซาเลซ"", ""dob"": ""1974-12-23""}]","[{""first_name"": "" Raj"", ""last_name"": "" Li"", ""dob"": ""1991-10-28""}, {""first_name"": "" Anya"", ""last_name"": "" Gonzalez"", ""dob"": ""1974-12-23""}]"
sophia_davis_8874,sophia_davis_8874,sophia.davis4814@example.com,1997-04-14,"{""certificate_1654224"": {""source"": ""certificate"", ""id"": ""certificate_1654224"", ""amount"": 500.0}, ""gift_card_2075462"": {""source"": ""gift_card"", ""id"": ""gift_card_2075462"", ""amount"": 199.0}, ""credit_card_4801844"": {""source"": ""credit_card"", ""id"": ""credit_card_4801844"", ""brand"": ""visa"", ""last_four"": ""4373""}, ""certificate_9507611"": {""source"": ""certificate"", ""id"": ""certificate_9507611"", ""amount"": 250.0}, ""credit_card_3309619"": {""source"": ""credit_card"", ""id"": ""credit_card_3309619"", ""brand"": ""visa"", ""last_four"": ""5962""}, ""gift_card_6874494"": {""source"": ""gift_card"", ""id"": ""gift_card_6874494"", ""amount"": 134.0}, ""gift_card_5896248"": {""source"": ""gift_card"", ""id"": ""gift_card_5896248"", ""amount"": 264.0}}",regular,"[""ZVWQ08"", ""HFMJKS"", ""NVLFIW""]","{""address1"": ""770 Elm Avenue"", ""address2"": ""Suite 445"", ""city"": ""Washington"", ""country"": ""USA"", ""state"": ""DC"", ""zip"": ""20532""}","{""address1"": ""榆树大道770号"", ""address2"": ""445号套房"", ""city"": ""华盛顿"", ""country"": ""美国"", ""state"": ""华盛顿特区"", ""zip"": ""20532""}","{""address1"": "" Jalan Elm 770"", ""address2"": "" Suite 445"", ""city"": "" Washington"", ""country"": "" Amerika Serikat"", ""state"": "" DC"", ""zip"": "" 20532""}","{""address1"": "" 770 ถนนเอล์ม"", ""address2"": "" ห้องชุด 445"", ""city"": "" วอชิงตัน"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" ดีซี"", ""zip"": "" 20532""}","{""address1"": "" 770 Elm Avenue"", ""address2"": "" Phòng 445"", ""city"": "" Washington"", ""country"": "" Hoa Kỳ"", ""state"": "" DC"", ""zip"": "" 20532""}","{""first_name"": ""Sophia"", ""last_name"": ""Davis""}","{""first_name"": ""索菲亚"", ""last_name"": ""戴维斯""}","{""first_name"": "" Sophia"", ""last_name"": "" Davis""}","{""first_name"": "" โซเฟีย"", ""last_name"": "" เดวิส""}","{""first_name"": "" Sophia"", ""last_name"": "" Davis""}","[{""first_name"": ""Liam"", ""last_name"": ""Rossi"", ""dob"": ""1995-08-06""}, {""first_name"": ""Aarav"", ""last_name"": ""Anderson"", ""dob"": ""1955-03-26""}]","[{""first_name"": ""利亚姆"", ""last_name"": ""罗西"", ""dob"": ""1995-08-06""}, {""first_name"": ""阿拉夫"", ""last_name"": ""安德森"", ""dob"": ""1955-03-26""}]","[{""first_name"": "" Liam"", ""last_name"": "" Rossi"", ""dob"": ""1995-08-06""}, {""first_name"": "" Aarav"", ""last_name"": "" Anderson"", ""dob"": ""1955-03-26""}]","[{""first_name"": "" เลียม"", ""last_name"": "" รอสซี่"", ""dob"": ""1995-08-06""}, {""first_name"": "" อาราว"", ""last_name"": "" แอนเดอร์สัน"", ""dob"": ""1955-03-26""}]","[{""first_name"": "" Liam"", ""last_name"": "" Rossi"", ""dob"": ""1995-08-06""}, {""first_name"": "" Aarav"", ""last_name"": "" Anderson"", ""dob"": ""1955-03-26""}]"
ava_davis_9130,ava_davis_9130,ava.davis5061@example.com,1985-11-24,"{""gift_card_2820585"": {""source"": ""gift_card"", ""id"": ""gift_card_2820585"", ""amount"": 71.0}, ""gift_card_9760542"": {""source"": ""gift_card"", ""id"": ""gift_card_9760542"", ""amount"": 67.0}, ""credit_card_1694810"": {""source"": ""credit_card"", ""id"": ""credit_card_1694810"", ""brand"": ""visa"", ""last_four"": ""4559""}, ""certificate_1877014"": {""source"": ""certificate"", ""id"": ""certificate_1877014"", ""amount"": 150.0}, ""credit_card_9035307"": {""source"": ""credit_card"", ""id"": ""credit_card_9035307"", ""brand"": ""visa"", ""last_four"": ""6979""}}",gold,"[""YMMK5P"", ""AQ12FI"", ""UAUH1S"", ""N0C84K""]","{""address1"": ""415 Elm Avenue"", ""address2"": ""Suite 424"", ""city"": ""San Diego"", ""country"": ""USA"", ""state"": ""CA"", ""zip"": ""92110""}","{""address1"": ""榆树大道415号"", ""address2"": ""424号套房"", ""city"": ""圣地亚哥"", ""country"": ""美国"", ""state"": ""加州"", ""zip"": ""92110""}","{""address1"": "" Jalan Elm Nomor 415"", ""address2"": "" Suite 424"", ""city"": "" San Diego"", ""country"": "" Amerika Serikat"", ""state"": "" CA"", ""zip"": "" 92110""}","{""address1"": "" 415 ถนนเอล์ม"", ""address2"": "" ห้องชุด 424"", ""city"": "" ซานดิเอโก"", ""country"": "" สหรัฐอเมริกา"", ""state"": "" ซีเอ"", ""zip"": "" 92110""}","{""address1"": "" 415 Elm Avenue"", ""address2"": "" Phòng 424"", ""city"": "" San Diego"", ""country"": "" Hoa Kỳ"", ""state"": "" CA"", ""zip"": "" 92110""}","{""first_name"": ""Ava"", ""last_name"": ""Davis""}","{""first_name"": ""艾娃"", ""last_name"": ""戴维斯""}","{""first_name"": "" Ava"", ""last_name"": ""Davis""}","{""first_name"": "" อาวา"", ""last_name"": ""เดวิส""}","{""first_name"": "" Ava"", ""last_name"": ""Davis""}","[{""first_name"": ""Emma"", ""last_name"": ""Gonzalez"", ""dob"": ""2000-09-27""}]","[{""first_name"": ""艾玛"", ""last_name"": ""冈萨雷斯"", ""dob"": ""2000-09-27""}]","[{""first_name"": "" Emma"", ""last_name"": "" Gonzalez"", ""dob"": ""2000-09-27""}]","[{""first_name"": "" เอ็มม่า"", ""last_name"": "" กอนซาเลซ"", ""dob"": ""2000-09-27""}]","[{""first_name"": "" Emma"", ""last_name"": "" Gonzalez"", ""dob"": ""2000-09-27""}]"
